As Loterias - www.asloterias.com.br - Todos Resultados da TimeMania;;;;;;;;;
Este arquivo foi baixado no site www.asloterias.com.br no dia 19/03/2019;;;;;;;;;
Visite o site para baixar a versão mais atualizada deste arquivo!;;;;;;;;;
;;;;;;;;;
TODOS RESULTADOS DA TIMEMANIA POR ORDEM DE SORTEIO;;;;;;;;;
;;;;;;;;;
Concurso;Data;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;Time do Coração
1306;16/03/2019;2;20;1;40;46;49;70;AMÉRICA/RJ
1305;14/03/2019;16;52;35;26;60;10;62;XV PIRACICABA/SP
1304;12/03/2019;60;5;27;20;54;11;19;RIO BRANCO/ES
1303;09/03/2019;45;42;28;12;75;47;55;SPORT/PE
1302;07/03/2019;23;33;3;49;39;67;36;CRUZEIRO/MG
1301;02/03/2019;80;46;15;43;73;49;68;SAMPAIO CORRÊA/MA
1300;28/02/2019;3;47;16;12;33;6;14;PAYSANDU/PA
1299;26/02/2019;68;2;45;15;80;20;63;SANTOS/SP
1298;23/02/2019;51;2;52;31;53;36;35;IPATINGA/MG
1297;21/02/2019;16;80;10;62;65;29;79;CRB/AL
1296;19/02/2019;22;50;36;72;26;68;4;CEARÁ/CE
1295;16/02/2019;60;4;80;78;58;74;28;BARUERI/SP
1294;14/02/2019;56;11;60;14;1;33;66;BAHIA/BA
1293;12/02/2019;28;75;27;72;70;17;30;…
1292;09/02/2019;70;6;18;20;79;32;40;VASCO DA GAMA/RJ
1291;07/02/2019;26;9;35;66;77;58;42;…
1290;05/02/2019;23;75;48;35;74;61;79;AVAÍ/SC
1289;02/02/2019;9;34;8;51;76;57;53;PONTE PRETA/SP
1288;31/01/2019;10;56;32;53;9;52;33;VASCO/RJ
1287;29/01/2019;51;8;42;39;44;18;62;VILLA NOVA/MG
1286;26/01/2019;33;48;2;44;72;27;78;SÃO RAIMUNDO/AM
1285;24/01/2019;10;13;55;31;33;23;26;SAMPAIO CORRÊA/MA
1284;22/01/2019;18;16;61;14;71;79;58;UBERLÂNDIA/MG
1283;19/01/2019;62;50;60;5;15;72;57;PONTE PRETA/SP
1282;17/01/2019;10;57;76;67;32;30;60;FLUMINENSE/RJ
1281;15/01/2019;59;54;8;76;74;58;26;REMO/PA
1280;12/01/2019;52;6;51;1;67;50;48;REMO/PA
1279;10/01/2019;31;65;29;6;5;11;49;RIO BRANCO/ES
1278;08/01/2019;49;2;29;16;31;3;63;RIVER/PI
1277;05/01/2019;48;42;31;67;20;47;29;AMÉRICA/MG
1276;03/01/2019;55;11;13;6;3;45;35;NÁUTICO/PE
1275;29/12/2018;14;4;30;19;46;72;20;CEARÁ/CE
1274;27/12/2018;14;49;58;51;76;63;66;GAMA/DF
1273;22/12/2018;3;67;63;58;48;1;61;FIGUEIRENSE/SC
1272;20/12/2018;33;44;76;41;21;18;28;PALMEIRAS/SP
1271;18/12/2018;68;16;30;37;20;72;66;VITÓRIA/BA
1270;15/12/2018;19;77;27;8;46;33;68;CORINTHIANS/SP
1269;13/12/2018;41;77;18;11;44;49;80;BOTAFOGO/PB
1268;11/12/2018;17;72;43;70;45;65;7;RORAIMA/RR
1267;08/12/2018;74;13;57;26;36;61;60;BOTAFOGO/RJ
1266;06/12/2018;70;14;60;46;34;17;13;BOTAFOGO/RJ
1265;04/12/2018;62;31;68;1;9;60;26;…
1264;01/12/2018;44;47;63;8;4;57;59;ABC/RN
1263;29/11/2018;71;30;58;31;12;64;52;SERGIPE/SE
1262;27/11/2018;56;59;25;58;13;70;27;PONTE PRETA/SP
1261;24/11/2018;41;76;79;60;19;7;72;SANTOS/SP
1260;22/11/2018;18;73;38;77;34;60;76;SÃO PAULO/SP
1259;20/11/2018;76;25;79;48;71;19;32;CSA/AL
1258;17/11/2018;3;79;6;68;46;14;67;IPATINGA/MG
1257;13/11/2018;55;59;47;21;76;66;38;SÃO RAIMUNDO/AM
1256;10/11/2018;13;9;27;42;43;20;44;PARANÁ/PR
1255;08/11/2018;76;79;16;22;44;41;61;CRICIÚMA/SC
1254;06/11/2018;62;25;71;19;75;2;16;OLARIA/RJ
1253;03/11/2018;43;32;47;16;70;22;35;CORINTHIANS/SP
1252;01/11/2018;68;62;60;27;32;50;61;VILLA NOVA/MG
1251;30/10/2018;6;28;16;50;31;20;77;CRICIÚMA/SC
1250;27/10/2018;32;13;69;67;73;60;21;BAHIA/BA
1249;25/10/2018;62;76;25;33;74;23;63;CORITIBA/PR
1248;23/10/2018;28;21;73;66;22;70;63;VILLA NOVA/MG
1247;20/10/2018;45;65;69;50;27;71;1;YPIRANGA/AP
1246;18/10/2018;63;41;62;72;31;79;21;JOINVILLE/SC
1245;16/10/2018;69;42;30;27;37;66;21;MIXTO/MT
1244;13/10/2018;14;22;75;32;39;40;35;BAHIA/BA
1243;11/10/2018;41;11;44;29;77;47;17;TREZE/PB
1242;09/10/2018;46;65;30;42;16;73;49;PAULISTA/SP
1241;06/10/2018;66;70;23;8;74;61;50;SANTOS/SP
1240;04/10/2018;79;66;48;64;74;75;9;CRICIÚMA/SC
1239;02/10/2018;12;28;63;73;58;80;76;CORINTHIANS/SP
1238;29/09/2018;7;12;50;65;30;18;80;MARÍLIA/SP
1237;27/09/2018;75;56;46;49;79;5;29;JI-PARANÁ / RO
1236;25/09/2018;39;80;69;5;20;34;50;DESPORTIVA/ES
